編號,分類,常見問題,建議標準答案,關鍵字
172,07 房間設備與備品,床墊軟硬度如何？,遮光與床墊軟硬屬房型與個人感受差異；若有睡眠需求，建議訂房前先詢問適合房型。,床墊軟硬度如何
173,07 房間設備與備品,房間有蚊子或昆蟲嗎？,鄉間或自然環境難免有小昆蟲，民宿會盡力清潔與防治；建議關好紗窗門窗並自備防蚊用品。,房間有蚊子或昆蟲
174,07 房間設備與備品,房內可以吃東西嗎？,房內可簡單飲食但請保持清潔；為安全與氣味考量，房內通常禁止煮食，請使用指定廚房。,房內可以吃東西嗎
175,07 房間設備與備品,房內可以煮食嗎？,房內可簡單飲食但請保持清潔；為安全與氣味考量，房內通常禁止煮食，請使用指定廚房。,房內可以煮食嗎
176,08 公共空間與設施,公共空間有哪些？,公共空間依民宿配置開放，使用時請遵守時間、音量、清潔與安全規範，晚間請降低音量。,公共空間有哪些
177,08 公共空間與設施,客廳可以使用到幾點？,公共空間依民宿配置開放，使用時請遵守時間、音量、清潔與安全規範，晚間請降低音量。,客廳可以使用到幾
178,08 公共空間與設施,廚房可以使用嗎？,廚房與餐飲設備是否開放、可用範圍與清潔方式依民宿公告；使用後請清洗歸位。,廚房
179,08 公共空間與設施,餐廳區可以聚餐嗎？,公共空間依民宿配置開放，使用時請遵守時間、音量、清潔與安全規範，晚間請降低音量。,餐廳區可以聚餐嗎
180,08 公共空間與設施,公共冰箱可以放東西嗎？,廚房與餐飲設備是否開放、可用範圍與清潔方式依民宿公告；使用後請清洗歸位。,公共冰箱可以放東
181,08 公共空間與設施,有飲水機嗎？,廚房與餐飲設備是否開放、可用範圍與清潔方式依民宿公告；使用後請清洗歸位。,有飲水機嗎
182,08 公共空間與設施,有咖啡或茶嗎？,廚房與餐飲設備是否開放、可用範圍與清潔方式依民宿公告；使用後請清洗歸位。,有咖啡或茶嗎
183,08 公共空間與設施,可以使用公共杯盤嗎？,廚房與餐飲設備是否開放、可用範圍與清潔方式依民宿公告；使用後請清洗歸位。,可以使用公共杯盤
184,08 公共空間與設施,可以借桌遊嗎？,若提供桌遊或玩具，請家長陪同孩子使用，確認配件完整並放回原位。,可以借桌遊嗎
185,08 公共空間與設施,有兒童玩具嗎？,若提供桌遊或玩具，請家長陪同孩子使用，確認配件完整並放回原位。,有兒童玩具嗎
186,08 公共空間與設施,有電梯嗎？,是否有電梯需依建物配置；若有長輩或行動不便者同行，請訂房前確認樓層與動線。,有電梯嗎
187,08 公共空間與設施,公共空間可以拍照嗎？,公共空間依民宿配置開放，使用時請遵守時間、音量、清潔與安全規範，晚間請降低音量。,公共空間可以拍照
188,08 公共空間與設施,可以移動家具嗎？,個人拍照可正常進行，但布置、明火、香氛或移動家具需事前同意，不得傷牆、殘膠或造成清潔負擔。,可以移動家具嗎
189,08 公共空間與設施,可以布置公共空間嗎？,公共空間依民宿配置開放，使用時請遵守時間、音量、清潔與安全規範，晚間請降低音量。,可以布置公共空間
190,08 公共空間與設施,可以點蠟燭嗎？,個人拍照可正常進行，但布置、明火、香氛或移動家具需事前同意，不得傷牆、殘膠或造成清潔負擔。,可以點蠟燭嗎
191,08 公共空間與設施,可以使用香氛或擴香嗎？,個人拍照可正常進行，但布置、明火、香氛或移動家具需事前同意，不得傷牆、殘膠或造成清潔負擔。,可以使用香氛或擴
192,08 公共空間與設施,公共區域有冷氣嗎？,公共區域冷氣與燈光請依使用時間與節能規範操作；離開或睡前請關閉非必要電源。,公共區域有冷氣嗎
193,08 公共空間與設施,公共區域燈光可以整晚開嗎？,公共區域冷氣與燈光請依使用時間與節能規範操作；離開或睡前請關閉非必要電源。,公共區域燈光可以
194,08 公共空間與設施,垃圾要丟哪裡？,請依民宿標示分類一般垃圾、回收、玻璃與廚餘，並放置於指定位置。,垃圾要丟哪裡
195,08 公共空間與設施,資源回收怎麼分類？,請依民宿標示分類一般垃圾、回收、玻璃與廚餘，並放置於指定位置。,資源回收怎麼分類
196,08 公共空間與設施,公共空間髒了怎麼辦？,公共空間依民宿配置開放，使用時請遵守時間、音量、清潔與安全規範，晚間請降低音量。,公共空間髒了怎麼
197,08 公共空間與設施,設施壞掉怎麼辦？,若公共空間髒污、打翻或設備故障，請立即拍照並通知民宿，以便即時處理。,設施壞掉怎麼辦
198,08 公共空間與設施,公共區可以穿室外鞋嗎？,請依現場標示換鞋與使用公共物品；物品使用後請放回原處，避免其他住客找不到。,公共區可以穿室外
199,08 公共空間與設施,可以把公共物品拿進房間嗎？,請依現場標示換鞋與使用公共物品；物品使用後請放回原處，避免其他住客找不到。,可以把公共物品拿
200,08 公共空間與設施,公共空間有監視器嗎？,公共空間依民宿配置開放，使用時請遵守時間、音量、清潔與安全規範，晚間請降低音量。,監視器
201,09 早餐餐飲與廚房,有附早餐嗎？,早餐目前以代訂為主，是否提供與內容依當期方案為準；若需要早餐，請提前告知份數、用餐時間與特殊飲食需求。,早餐
202,09 早餐餐飲與廚房,早餐幾點供應？,早餐供應或送達時間會依代訂店家與當日安排確認；請提前告知希望用餐時間，管家會協助評估是否可配合。,早餐
203,09 早餐餐飲與廚房,早餐可以素食嗎？,可以先提出素食或特殊飲食需求；能否代訂素食早餐需依合作店家菜單與當日供應狀況確認。,早餐
204,09 早餐餐飲與廚房,可以代訂早餐嗎？,可以代訂早餐。請提前告知份數、用餐時間與特殊飲食需求；實際品項、費用與截止時間會依當期公告或管家回覆為準。,早餐
205,09 早餐餐飲與廚房,早餐一份多少錢？,早餐代訂費用以當期公告為準；目前規劃每份約 250 元，實際內容、價格與是否可供應會由管家確認後回覆。,早餐
206,09 早餐餐飲與廚房,可以自己煮早餐嗎？,早餐是否包含、供應時間、素食或代訂費用依訂房方案與當期菜單為準；特殊飲食請提前告知。,早餐
207,09 早餐餐飲與廚房,廚房有哪些設備？,若開放廚房，請依使用時間、器具範圍與清潔規範操作；房內通常禁止煮食。,廚房
208,09 早餐餐飲與廚房,有鍋具可以用嗎？,若開放廚房，請依使用時間、器具範圍與清潔規範操作；房內通常禁止煮食。,有鍋具可以用嗎
209,09 早餐餐飲與廚房,可以煮火鍋嗎？,若開放廚房，請依使用時間、器具範圍與清潔規範操作；房內通常禁止煮食。,可以煮火鍋嗎
210,09 早餐餐飲與廚房,可以代訂烤肉食材嗎？,可以詢問是否提供烤肉食材代訂或合作店家；請提前確認人數、預算、內容、送達時間與是否需另付代訂費，現場不建議臨時追加。,烤肉食材、代訂、烤肉
211,09 早餐餐飲與廚房,烤肉設備有提供嗎？,烤肉需事前確認場地、設備、費用、天候限制與炭灰垃圾處理方式；未確認前請勿自行生火。,烤肉
212,09 早餐餐飲與廚房,可以叫外燴嗎？,可提供附近餐廳、外送範圍或外燴注意事項；熱門餐廳與外燴建議提前訂位或預約。,可以叫外燴嗎
213,09 早餐餐飲與廚房,可以叫外送嗎？,可提供附近餐廳、外送範圍或外燴注意事項；熱門餐廳與外燴建議提前訂位或預約。,可以叫外送嗎
214,09 早餐餐飲與廚房,附近有推薦餐廳嗎？,可提供附近餐廳、外送範圍或外燴注意事項；熱門餐廳與外燴建議提前訂位或預約。,附近有推薦餐廳嗎
215,09 早餐餐飲與廚房,可以幫忙訂餐廳嗎？,可提供附近餐廳、外送範圍或外燴注意事項；熱門餐廳與外燴建議提前訂位或預約。,可以幫忙訂餐廳嗎
216,09 早餐餐飲與廚房,可以在房間吃泡麵嗎？,可簡單飲食與理性飲酒，但請避免味道殘留、喧嘩、酒後駕車與垃圾未處理。,可以在房間吃泡麵
217,09 早餐餐飲與廚房,可以帶酒嗎？,可簡單飲食與理性飲酒，但請避免味道殘留、喧嘩、酒後駕車與垃圾未處理。,可以帶酒嗎
218,09 早餐餐飲與廚房,可以開派對喝酒唱歌嗎？,可簡單飲食與理性飲酒，但請避免味道殘留、喧嘩、酒後駕車與垃圾未處理。,可以開派對喝酒唱
219,09 早餐餐飲與廚房,有提供冰塊嗎？,冰塊、水壺或保溫瓶是否提供依民宿備品；大量需求建議自行購買或提前詢問。,有提供冰塊嗎
220,09 早餐餐飲與廚房,可以借保溫瓶或水壺嗎？,冰塊、水壺或保溫瓶是否提供依民宿備品；大量需求建議自行購買或提前詢問。,可以借保溫瓶或水
221,09 早餐餐飲與廚房,餐具不小心打破怎麼辦？,請先注意安全並通知民宿，不要徒手撿碎片；若有損壞，會依實際情況處理。,餐具不小心打破怎
222,09 早餐餐飲與廚房,食物可以留在冰箱嗎？,退房時請帶走所有個人食物；未取走的食物基於衛生會由清潔人員處理。,食物可以留在冰箱
223,09 早餐餐飲與廚房,可以煮氣味重的食物嗎？,請避免料理氣味重或油煙大的食物；廚餘、湯水與油脂需依指定方式處理，使用後請基本清潔復原。,可以煮氣味重的食
224,09 早餐餐飲與廚房,廚餘怎麼處理？,請避免料理氣味重或油煙大的食物；廚餘、湯水與油脂需依指定方式處理，使用後請基本清潔復原。,廚餘怎麼處理
225,09 早餐餐飲與廚房,退房前廚房要清到什麼程度？,若開放廚房，請依使用時間、器具範圍與清潔規範操作；房內通常禁止煮食。,退房、廚房
226,10 寵物友善,可以帶寵物嗎？,可以，慢慢蒔光是寵物友善 villa。訂房時請先告知寵物種類、數量、體型與習性，管家會協助確認入住規範、清潔注意事項與可能費用。,寵物
227,10 寵物友善,可以帶狗嗎？,可以，慢慢蒔光是寵物友善 villa，可以帶狗狗一起入住。實際寵物數量、大小、清潔規範與特殊需求，仍需由管家確認。,可以帶狗嗎
228,10 寵物友善,可以帶貓嗎？,可以先提出需求。慢慢蒔光是寵物友善 villa，貓咪入住的數量、清潔注意事項與空間安排，建議由管家依實際情況確認。,可以帶貓嗎
229,10 寵物友善,寵物需要收費嗎？,寵物相關費用、清潔費或押金會依寵物種類、數量、大小與當期規範確認；慢寶不會直接承諾固定金額，管家會在訂房前說明清楚。,寵物
230,10 寵物友善,寵物可以上床嗎？,為了維護寢具與清潔品質，通常不建議寵物上床或上沙發；如有拍照或特殊需求，請先與管家確認是否可配合及是否需加購保潔用品。,寵物
231,10 寵物友善,寵物可以進房間嗎？,寵物是否可進入房間與可活動範圍，會依當期寵物入住規範確認。訂房時請先告知寵物種類、數量與體型，方便管家安排。,寵物
232,10 寵物友善,寵物可以單獨留在房內嗎？,不建議讓寵物單獨留在房內，以免焦慮、吠叫、破壞家具或造成安全問題；若行程需要暫離，請先與管家討論安排。,寵物
233,10 寵物友善,狗狗會叫可以入住嗎？,若狗狗容易吠叫，請攜帶安撫用品並盡量避免影響鄰居與其他住客；持續吠叫或造成困擾時，管家可能會依住宿規範協助處理。,入住
234,10 寵物友善,大型犬可以入住嗎？,大型犬可以先提出需求，由管家依狗狗體型、品種、數量、入住人數與當日房況確認是否合適。請提前提供相關資訊，方便安排。,入住
235,10 寵物友善,可以帶幾隻寵物？,可攜帶寵物數量需由管家依寵物種類、體型、房況與清潔安排確認；請先提供種類、數量、體重與習性，不建議未告知直接攜帶。,寵物
236,10 寵物友善,寵物需要籠子嗎？,建議自備外出籠、睡墊、尿布墊、撿便袋、慣用食器與安撫用品；若民宿有提供部分備品，也會以當期公告與現場數量為準。,寵物
237,10 寵物友善,有寵物用品嗎？,寵物用品以當期備品與現場數量為準；為了讓毛孩更適應環境，仍建議自備睡墊、尿布墊、撿便袋、食器與慣用用品。,寵物
238,10 寵物友善,要自備尿布墊嗎？,建議自備尿布墊、撿便袋與清潔用品，特別是幼犬、貓咪或較容易緊張的寵物。現場是否有備品仍依當期準備數量為準。,要自備尿布墊嗎
239,10 寵物友善,寵物可以在庭院跑嗎？,寵物可依規範在指定戶外區域活動，請務必牽繩、全程看顧並立即清理排泄物；是否能自由奔跑需依現場安全與圍界狀況確認。,寵物
240,10 寵物友善,寵物可以進公共空間嗎？,寵物是否可進公共空間，會依當期寵物友善規範確認；若可進入，請牽繩或看顧，並避免影響家具、布品與其他住客。,寵物
241,10 寵物友善,寵物弄髒床單怎麼辦？,請第一時間清理並通知管家；若造成床單、床墊、布品或空間深度清潔、除味或汰換，可能依實際情況收取費用。,寵物
242,10 寵物友善,寵物咬壞家具怎麼辦？,請立即通知管家並保留現場狀況；若寵物造成家具、牆面、布品或設備損壞，會依實際修復、清潔或汰換費用處理。,寵物
243,10 寵物友善,寵物掉毛會被收費嗎？,一般正常掉毛會納入寵物入住清潔考量；若掉毛、異味或髒污嚴重，可能依寵物清潔規範收取額外清潔費，實際以管家確認為準。,寵物
244,10 寵物友善,寵物可以洗澡嗎？,是否可在民宿替寵物洗澡需先確認；請勿使用客用毛巾擦寵物，建議自備寵物毛巾、清潔用品與吹乾工具。,寵物
245,10 寵物友善,附近有寵物友善餐廳嗎？,可協助提供附近寵物友善餐廳、景點或動物醫院方向建議；店家規範與營業時間可能變動，出發前仍建議自行再確認。,寵物
246,10 寵物友善,附近有動物醫院嗎？,若需要附近動物醫院資訊，請告知目前狀況與所在位置，管家可協助提供附近可查詢方向；緊急狀況請優先聯繫動物醫院或就近就醫。,附近有動物醫院嗎
247,10 寵物友善,寵物需要打疫苗證明嗎？,若當期寵物入住規範要求疫苗證明、寵物入住同意書或切結書，請依規定提供；訂房前可先詢問需準備哪些資料。,寵物
248,10 寵物友善,可以帶寵物坐床或沙發拍照嗎？,寵物坐床或沙發拍照需先詢問，並以不造成髒污、抓痕、殘留毛髮或異味為原則；若需要，可能需使用自備墊布或保潔用品。,寵物
249,10 寵物友善,寵物便便要怎麼處理？,寵物排泄物請立即清理並丟至指定位置，避免留在戶外、房內或公共區域；若造成髒污或異味，可能依清潔規範處理。,寵物
250,10 寵物友善,寵物入住要簽切結嗎？,是否需簽寵物入住同意書或切結，會依當期寵物規範確認。若需要，請詳閱清潔、損壞、噪音與安全責任後再入住。,入住、寵物
251,11 親子長輩與無障礙,適合帶小孩入住嗎？,請先告知孩子年齡與需求；嬰兒床、澡盆、餐椅、玩具或床圍等備品需提前確認，數量有限。,入住
252,11 親子長輩與無障礙,有嬰兒床嗎？,請先告知孩子年齡與需求；嬰兒床、澡盆、餐椅、玩具或床圍等備品需提前確認，數量有限。,有嬰兒床嗎
253,11 親子長輩與無障礙,有澡盆嗎？,請先告知孩子年齡與需求；嬰兒床、澡盆、餐椅、玩具或床圍等備品需提前確認，數量有限。,有澡盆嗎
254,11 親子長輩與無障礙,有消毒鍋嗎？,請先告知孩子年齡與需求；嬰兒床、澡盆、餐椅、玩具或床圍等備品需提前確認，數量有限。,有消毒鍋嗎
255,11 親子長輩與無障礙,小孩可以使用樓梯嗎？,請先告知孩子年齡與需求；嬰兒床、澡盆、餐椅、玩具或床圍等備品需提前確認，數量有限。,小孩可以使用樓梯
256,11 親子長輩與無障礙,有兒童遊戲區嗎？,請先告知孩子年齡與需求；嬰兒床、澡盆、餐椅、玩具或床圍等備品需提前確認，數量有限。,有兒童遊戲區嗎
257,11 親子長輩與無障礙,可以帶嬰兒推車嗎？,請先告知孩子年齡與需求；嬰兒床、澡盆、餐椅、玩具或床圍等備品需提前確認，數量有限。,可以帶嬰兒推車嗎
258,11 親子長輩與無障礙,長輩適合入住嗎？,請先告知長輩行動狀況、輪椅或助行器需求，我們會誠實評估樓層、門寬、衛浴與動線是否合適。,入住
259,11 親子長輩與無障礙,有無障礙設施嗎？,請先告知長輩行動狀況、輪椅或助行器需求，我們會誠實評估樓層、門寬、衛浴與動線是否合適。,有無障礙設施嗎
260,11 親子長輩與無障礙,輪椅可以進出嗎？,請先告知長輩行動狀況、輪椅或助行器需求，我們會誠實評估樓層、門寬、衛浴與動線是否合適。,輪椅可以進出嗎
261,11 親子長輩與無障礙,有一樓衛浴嗎？,請先告知長輩行動狀況、輪椅或助行器需求，我們會誠實評估樓層、門寬、衛浴與動線是否合適。,有一樓衛浴嗎
262,11 親子長輩與無障礙,浴室會不會滑？,民宿空間可能有樓梯、濕滑地面與家具邊角，請家長全程陪同孩子並遵守安靜與安全規範。,浴室會不會滑
263,11 親子長輩與無障礙,有浴缸嗎？,是否有浴缸依房型而定；幼兒或長輩使用時請務必有人陪同並注意水溫與防滑。,有浴缸嗎
264,11 親子長輩與無障礙,有親子餐具嗎？,此問題需依民宿實際設備、房況與公告規定確認；建議訂房前先詢問，民宿會提供最準確答覆。,有親子餐具嗎
265,11 親子長輩與無障礙,孩子可以跑跳嗎？,民宿空間可能有樓梯、濕滑地面與家具邊角，請家長全程陪同孩子並遵守安靜與安全規範。,孩子可以跑跳嗎
266,11 親子長輩與無障礙,有尖角或易碎裝飾嗎？,民宿空間可能有樓梯、濕滑地面與家具邊角，請家長全程陪同孩子並遵守安靜與安全規範。,有尖角或易碎裝飾
267,11 親子長輩與無障礙,可以帶寵物又帶小孩嗎？,請先告知孩子年齡與需求；嬰兒床、澡盆、餐椅、玩具或床圍等備品需提前確認，數量有限。,寵物
268,11 親子長輩與無障礙,有藥箱嗎？,民宿可提供附近醫療資訊或簡易急救用品位置；緊急狀況請先撥119，個人藥品請自行攜帶。,有藥箱嗎
269,11 親子長輩與無障礙,附近有醫院或診所嗎？,民宿可提供附近醫療資訊或簡易急救用品位置；緊急狀況請先撥119，個人藥品請自行攜帶。,附近有醫院或診所
270,11 親子長輩與無障礙,可以幫忙安排親子活動嗎？,可依孩子年齡、天候與行程需求推薦親子景點或雨天備案；實際營業時間請出發前確認。,可以幫忙安排親子
271,11 親子長輩與無障礙,小朋友要帶證件嗎？,若有兒童年齡優惠或人數確認，建議攜帶可證明年齡的文件；住宿登記依民宿規範辦理。,小朋友要帶證件嗎
272,11 親子長輩與無障礙,有樓梯護欄嗎？,民宿空間可能有樓梯、濕滑地面與家具邊角，請家長全程陪同孩子並遵守安靜與安全規範。,有樓梯護欄嗎
273,11 親子長輩與無障礙,可以加裝床圍嗎？,請先告知孩子年齡與需求；嬰兒床、澡盆、餐椅、玩具或床圍等備品需提前確認，數量有限。,可以加裝床圍嗎
274,11 親子長輩與無障礙,長輩怕吵，哪間房較安靜？,請先告知長輩行動狀況、輪椅或助行器需求，我們會誠實評估樓層、門寬、衛浴與動線是否合適。,長輩怕吵，哪間房
275,11 親子長輩與無障礙,老人家晚上起夜方便嗎？,請先告知長輩行動狀況、輪椅或助行器需求，我們會誠實評估樓層、門寬、衛浴與動線是否合適。,老人家晚上起夜方
276,12 清潔消毒與衛生,房間會每天打掃嗎？,短住通常以入住前完整清潔為主；連住打掃、毛巾更換與補備品規則依民宿公告辦理。,房間會每天打掃嗎
277,12 清潔消毒與衛生,入住前有消毒嗎？,民宿會於每組客人入住前完成基本清潔，寢具應於每位客人使用後換洗並保持清潔。,入住
278,12 清潔消毒與衛生,床單會每組客人更換嗎？,民宿會於每組客人入住前完成基本清潔，寢具應於每位客人使用後換洗並保持清潔。,床單會每組客人更
279,12 清潔消毒與衛生,毛巾會更換嗎？,短住通常以入住前完整清潔為主；連住打掃、毛巾更換與補備品規則依民宿公告辦理。,毛巾會更換嗎
280,12 清潔消毒與衛生,房間有異味怎麼辦？,請入住後盡快拍照並通知民宿，我們會協助補清潔、除味或依情況處理。,房間有異味怎麼辦
281,12 清潔消毒與衛生,發現房間不乾淨怎麼辦？,請入住後盡快拍照並通知民宿，我們會協助補清潔、除味或依情況處理。,發現房間不乾淨怎
282,12 清潔消毒與衛生,垃圾可以先放房間嗎？,垃圾請密封並依民宿標示分類一般垃圾、回收、玻璃與廚餘，放置於指定位置。,垃圾可以先放房間
283,12 清潔消毒與衛生,垃圾要分類嗎？,垃圾請密封並依民宿標示分類一般垃圾、回收、玻璃與廚餘，放置於指定位置。,垃圾要分類嗎
284,12 清潔消毒與衛生,廚餘可以倒水槽嗎？,請勿將廚餘、湯渣或油脂倒入水槽、馬桶或戶外排水孔；請依指定廚餘桶或處理方式處理。,廚餘可以倒水槽嗎
285,12 清潔消毒與衛生,可以把油倒進水槽嗎？,請勿將廚餘、湯渣或油脂倒入水槽、馬桶或戶外排水孔；請依指定廚餘桶或處理方式處理。,可以把油倒進水槽
286,12 清潔消毒與衛生,浴室排水不順怎麼辦？,若排水或馬桶堵塞請立即停止用水並通知民宿；濕紙巾、衛生棉、尿布等請丟垃圾桶。,浴室排水不順怎麼
287,12 清潔消毒與衛生,馬桶堵塞怎麼辦？,若排水或馬桶堵塞請立即停止用水並通知民宿；濕紙巾、衛生棉、尿布等請丟垃圾桶。,馬桶堵塞怎麼辦
288,12 清潔消毒與衛生,可以把濕紙巾丟馬桶嗎？,若排水或馬桶堵塞請立即停止用水並通知民宿；濕紙巾、衛生棉、尿布等請丟垃圾桶。,可以把濕紙巾丟馬
289,12 清潔消毒與衛生,退房需要自己打掃嗎？,退房不需深度清潔，但請恢復基本整潔、帶走個人物品、垃圾分類並清洗使用過的餐具。,退房
290,12 清潔消毒與衛生,清潔費包含什麼？,一般清潔費涵蓋正常整理，不包含嘔吐、煙味、尿漬、嚴重髒污或破壞造成的專業清潔與修復。,清潔
291,12 清潔消毒與衛生,若嘔吐或弄髒床墊怎麼辦？,請第一時間告知，讓民宿能及早處理；若需深度清潔、除味或汰換，會依規定收費。,若嘔吐或弄髒床墊
292,12 清潔消毒與衛生,小孩尿床怎麼辦？,請第一時間告知，讓民宿能及早處理；若需深度清潔、除味或汰換，會依規定收費。,小孩尿床怎麼辦
293,12 清潔消毒與衛生,寵物便溺怎麼辦？,請第一時間告知，讓民宿能及早處理；若需深度清潔、除味或汰換，會依規定收費。,寵物
294,12 清潔消毒與衛生,可以要求換房嗎？,若有設備故障或清潔問題，請立即反映；是否能換房需視當日房況與問題狀況安排。,可以要求換房嗎
295,12 清潔消毒與衛生,房間有螞蟻怎麼辦？,自然環境偶有昆蟲，請密封食物並關好門窗；若數量異常或影響住宿，請通知民宿處理。,房間有螞蟻怎麼辦
296,12 清潔消毒與衛生,房間有小蟲正常嗎？,自然環境偶有昆蟲，請密封食物並關好門窗；若數量異常或影響住宿，請通知民宿處理。,房間有小蟲正常嗎
297,12 清潔消毒與衛生,可以使用自己的清潔劑嗎？,請勿自行使用漂白水、強酸鹼或強烈香氛；若對清潔味道敏感，請訂房時先告知。,清潔
298,12 清潔消毒與衛生,退房時床單要拆嗎？,民宿會於每組客人入住前完成基本清潔，寢具應於每位客人使用後換洗並保持清潔。,退房
299,12 清潔消毒與衛生,使用過的毛巾放哪裡？,短住通常以入住前完整清潔為主；連住打掃、毛巾更換與補備品規則依民宿公告辦理。,使用過的毛巾放哪
300,12 清潔消毒與衛生,可以要求無香清潔嗎？,請勿自行使用漂白水、強酸鹼或強烈香氛；若對清潔味道敏感，請訂房時先告知。,清潔
301,13 噪音禁菸安全與規範,晚上幾點後要安靜？,請依民宿公告遵守安靜時段，常見為晚上10點後降低音量；包棟也需顧及鄰居與公共安寧。,晚上幾點後要安靜
302,13 噪音禁菸安全與規範,包棟也需要安靜嗎？,請依民宿公告遵守安靜時段，常見為晚上10點後降低音量；包棟也需顧及鄰居與公共安寧。,包棟
303,13 噪音禁菸安全與規範,可以唱歌唱到幾點？,請依民宿公告遵守安靜時段，常見為晚上10點後降低音量；包棟也需顧及鄰居與公共安寧。,可以唱歌唱到幾點
304,13 噪音禁菸安全與規範,可以在室內吸菸嗎？,室內、房間與公告禁菸區不得吸菸或使用電子菸；若留下煙味或菸蒂，可能收除味清潔費並依法處理。,可以在室內吸菸嗎
305,13 噪音禁菸安全與規範,陽台可以抽菸嗎？,此問題需依民宿實際設備、房況與公告規定確認；建議訂房前先詢問，民宿會提供最準確答覆。,陽台可以抽菸嗎
306,13 噪音禁菸安全與規範,電子菸可以嗎？,室內、房間與公告禁菸區不得吸菸或使用電子菸；若留下煙味或菸蒂，可能收除味清潔費並依法處理。,電子菸可以嗎
307,13 噪音禁菸安全與規範,有吸菸區嗎？,室內、房間與公告禁菸區不得吸菸或使用電子菸；若留下煙味或菸蒂，可能收除味清潔費並依法處理。,有吸菸區嗎
308,13 噪音禁菸安全與規範,房間有煙味會收費嗎？,室內、房間與公告禁菸區不得吸菸或使用電子菸；若留下煙味或菸蒂，可能收除味清潔費並依法處理。,房間有煙味會收費
309,13 噪音禁菸安全與規範,可以點香或燒金紙嗎？,為消防安全，通常禁止室內明火、點香、燒金紙、煙火與仙女棒；如有需求請先詢問。,可以點香或燒金紙
310,13 噪音禁菸安全與規範,可以放煙火嗎？,為消防安全，通常禁止室內明火、點香、燒金紙、煙火與仙女棒；如有需求請先詢問。,可以放煙火嗎
311,13 噪音禁菸安全與規範,可以烤肉用炭火嗎？,炭火、瓦斯爐與卡式爐只能在民宿允許的指定區域使用，房內與非指定處禁止使用。,烤肉
312,13 噪音禁菸安全與規範,可以使用瓦斯爐或卡式爐嗎？,炭火、瓦斯爐與卡式爐只能在民宿允許的指定區域使用，房內與非指定處禁止使用。,可以使用瓦斯爐或
313,13 噪音禁菸安全與規範,可以帶高功率電器嗎？,請勿使用高功率電器；若跳電或停電，請關閉高耗電設備並聯繫民宿，不要自行操作配電箱。,可以帶高功率電器
314,13 噪音禁菸安全與規範,跳電怎麼辦？,請勿使用高功率電器；若跳電或停電，請關閉高耗電設備並聯繫民宿，不要自行操作配電箱。,跳電怎麼辦
315,13 噪音禁菸安全與規範,停電怎麼辦？,請勿使用高功率電器；若跳電或停電，請關閉高耗電設備並聯繫民宿，不要自行操作配電箱。,停電怎麼辦
316,13 噪音禁菸安全與規範,火災警報響了怎麼辦？,入住後請先確認逃生路線與滅火器位置；若火警響起，請立即疏散並通知民宿與119。,火災警報響了怎麼
317,13 噪音禁菸安全與規範,房內有逃生圖嗎？,入住後請先確認逃生路線與滅火器位置；若火警響起，請立即疏散並通知民宿與119。,房內有逃生圖嗎
318,13 噪音禁菸安全與規範,滅火器在哪裡？,入住後請先確認逃生路線與滅火器位置；若火警響起，請立即疏散並通知民宿與119。,滅火器在哪裡
319,13 噪音禁菸安全與規範,可以鎖門外出嗎？,外出請確認門窗上鎖、關閉電器與水龍頭；貴重物品請自行保管。,可以鎖門外出嗎
320,13 噪音禁菸安全與規範,可以帶陌生人進來嗎？,不得帶未登記訪客或危險物品入住；若涉及公共安全，民宿可依規範拒絕或通報處理。,可以帶陌生人進來
321,13 噪音禁菸安全與規範,喝酒後可以開車出去嗎？,請理性飲酒並勿酒後駕車；可安排代駕、計程車或留宿休息，安全第一。,喝酒後可以開車出
322,13 噪音禁菸安全與規範,可以攜帶危險物品嗎？,不得帶未登記訪客或危險物品入住；若涉及公共安全，民宿可依規範拒絕或通報處理。,可以攜帶危險物品
323,13 噪音禁菸安全與規範,深夜喧嘩會怎麼處理？,請依民宿公告遵守安靜時段，常見為晚上10點後降低音量；包棟也需顧及鄰居與公共安寧。,深夜喧嘩會怎麼處
324,13 噪音禁菸安全與規範,違反住宿規定會退費嗎？,住宿規定會公布於官網、訂房確認、房內公告或入住須知；嚴重違規被要求退房時，費用通常不退。,違反住宿規定會退
325,13 噪音禁菸安全與規範,住宿規定在哪裡看？,住宿規定會公布於官網、訂房確認、房內公告或入住須知；嚴重違規被要求退房時，費用通常不退。,住宿規定在哪裡看
326,14 KTV麻將娛樂與活動,有KTV嗎？,KTV與音響設備依民宿提供為準，請遵守使用時間與音量；外接設備需先詢問，避免造成故障。,KTV
327,14 KTV麻將娛樂與活動,KTV可以唱到幾點？,KTV 使用時間以入住須知或管家公告為準，目前建議晚上 10 點後降低音量或停止高音量歌唱，避免影響鄰居與公共安寧。,KTV
328,14 KTV麻將娛樂與活動,KTV歌曲多嗎？,KTV與音響設備依民宿提供為準，請遵守使用時間與音量；外接設備需先詢問，避免造成故障。,KTV
329,14 KTV麻將娛樂與活動,可以接自己的麥克風嗎？,KTV與音響設備依民宿提供為準，請遵守使用時間與音量；外接設備需先詢問，避免造成故障。,可以接自己的麥克
330,14 KTV麻將娛樂與活動,音響可以開很大聲嗎？,KTV與音響設備依民宿提供為準，請遵守使用時間與音量；外接設備需先詢問，避免造成故障。,音響可以開很大聲
